Error,Ntotal,Nworkers,Time
2.7384844291535363E-4,12000000,1,1013
2.8113210781468865E-5,12000000,2,915
2.397518226106661E-5,12000000,3,1055
2.163404568115012E-4,12000000,4,978
4.116391611499083E-5,12000000,5,812
1.2594044913524956E-4,12000000,6,977
5.8891491442105146E-5,12000000,8,867
2.3046052009526038E-4,12000000,10,895
1.919366988707254E-4,12000000,12,803
4.191496417899978E-5,12000000,1,916
5.973199280909625E-5,12000000,2,1086
1.0918445345910602E-4,12000000,3,878
1.2948764536325374E-5,12000000,4,834
3.0129173393965275E-5,12000000,5,1079
1.8186521080452764E-4,12000000,6,1133
3.798914224941639E-5,12000000,8,926
1.1999866459316976E-4,12000000,10,847
3.90501752033693E-5,12000000,12,930
2.6928600121331367E-4,12000000,1,961
1.3454314105842532E-4,12000000,2,1057
9.708035278798459E-5,12000000,3,816
6.493105428331007E-5,12000000,4,883
9.104078994663832E-5,12000000,5,792
2.0361638636035047E-4,12000000,6,799
2.7247742507145674E-4,12000000,8,878
3.119853134420251E-5,12000000,10,989
7.310100802870515E-5,12000000,12,946
