Error,Ntotal,Nworkers,Time
4.214006643267275E-5,120000000,1,9788
3.2403130076349524E-6,120000000,2,9493
2.2582943758031294E-5,120000000,3,8970
2.1301379217116562E-5,120000000,4,9721
2.6394337396062306E-5,120000000,5,9341
6.885459087974992E-5,120000000,6,9510
2.9415995981522027E-5,120000000,8,9173
7.216501369601517E-5,120000000,10,9455
3.969969063853863E-5,120000000,12,9441
8.781190360500378E-6,120000000,1,10735
1.0531894734614579E-5,120000000,2,9570
4.757255515684385E-5,120000000,3,9692
3.063618387858909E-5,120000000,4,9644
2.0322943566149743E-5,120000000,5,9504
3.749274209436179E-5,120000000,6,9256
9.421327847892785E-5,120000000,8,9614
4.8175058607307875E-5,120000000,10,9240
3.2721439963425955E-6,120000000,12,9473
3.42436959219442E-5,120000000,1,9471
2.2691332386725623E-5,120000000,2,9470
5.316191349084419E-5,120000000,3,9178
3.9824729259660224E-5,120000000,4,9695
8.378560987493613E-5,120000000,5,9369
1.5962098125500778E-5,120000000,6,9561
2.051956099275534E-6,120000000,8,9089
4.716707730105967E-5,120000000,10,9584
4.389909580292991E-5,120000000,12,9268
