Error,Ntotal,Nworkers,Time
1.1348890109041E-5,12000000,1,999
1.1304163457620602E-5,24000000,2,1826
1.3948630318058795E-4,36000000,3,2548
6.682271277289968E-5,48000000,4,3716
4.0951709524171975E-5,60000000,5,4788
5.669869000402059E-5,72000000,6,5936
7.091262756120374E-5,96000000,8,7557
1.546569797044618E-5,120000000,10,9355
1.6079328695502785E-5,144000000,12,10993
4.466532486293651E-5,12000000,1,847
8.51437320559789E-5,24000000,2,1968
5.566469981887271E-5,36000000,3,2964
9.957378022968207E-5,48000000,4,4313
4.473396567556127E-6,60000000,5,5172
1.505917814319336E-4,72000000,6,6154
1.5831754339453215E-5,96000000,8,8609
8.927449640760407E-6,120000000,10,9334
4.881167837962308E-5,144000000,12,11387
9.697424949257516E-5,12000000,1,995
6.763668831596775E-5,24000000,2,1874
9.439240263794225E-5,36000000,3,2816
9.71682552557553E-5,48000000,4,4037
3.582128886145206E-6,60000000,5,4660
9.12072090586709E-6,72000000,6,6167
1.0176815944072128E-5,96000000,8,7389
7.160266623040175E-5,120000000,10,9590
6.562956764477902E-5,144000000,12,11260
