Error,Ntotal,Nworkers,Time
2.3718249018827357E-5,120000000,1,4494
3.404438499397946E-5,120000000,2,2247
3.479771839127331E-5,120000000,3,1553
6.0251898956432815E-5,120000000,4,1188
5.990673691713044E-6,120000000,5,984
6.986257218599813E-5,120000000,6,846
7.098726711708361E-5,120000000,8,660
1.095876459816053E-4,120000000,10,547
5.9008205067083785E-5,120000000,12,500
4.237683984313944E-6,120000000,1,4527
4.16413809441919E-5,120000000,2,2262
7.057574959844138E-5,120000000,3,1541
8.900360667514483E-5,120000000,4,1190
1.877383545342654E-5,120000000,5,988
6.0483040872963844E-5,120000000,6,846
1.7596088874494978E-5,120000000,8,656
1.3595994638209797E-5,120000000,10,549
3.0073836412975662E-5,120000000,12,469
1.0431659753383324E-4,120000000,1,4499
8.161881731560989E-5,120000000,2,2262
4.029386909271833E-5,120000000,3,1541
4.5246607654403466E-5,120000000,4,1194
3.3299376592969924E-5,120000000,5,972
2.173640272818213E-5,120000000,6,854
2.471561999550635E-5,120000000,8,659
3.422247526294713E-5,120000000,10,547
6.2005949492470005E-6,120000000,12,472
