Error,Ntotal,Nworkers,Time
1.6100032409476492E-5,1200000000,1,44287
1.868046455352844E-5,1200000000,2,22143
1.8195898823599859E-6,1200000000,3,15375
2.2503366286544903E-5,1200000000,4,11861
1.319492418165263E-5,1200000000,5,9743
3.127174261800392E-5,1200000000,6,8336
1.351658043406619E-5,1200000000,8,6556
2.632178062528473E-7,1200000000,10,5305
1.240143479936682E-5,1200000000,12,4597
1.2116179997685695E-6,1200000000,1,45158
6.773552744288281E-6,1200000000,2,22668
1.87165396738376E-5,1200000000,3,15424
9.622589493049078E-6,1200000000,4,11840
1.6921435183129925E-5,1200000000,5,9732
1.3001979451231515E-5,1200000000,6,8300
5.500476467000648E-6,1200000000,8,6583
1.4197763590459012E-5,1200000000,10,5414
2.3438299586334488E-5,1200000000,12,4647
9.91951545279615E-6,1200000000,1,45479
7.889759411888029E-6,1200000000,2,23789
1.034074553545001E-5,1200000000,3,16067
7.523866310082424E-6,1200000000,4,12964
3.3349082079175724E-6,1200000000,5,10223
2.5506415876150297E-6,1200000000,6,8640
6.19741185026315E-6,1200000000,8,6600
2.6471955863556214E-6,1200000000,10,5434
1.04141200765942E-5,1200000000,12,4602
