Error,Ntotal,Nworkers,Time
1.5214796309770293E-4,12000000,1,500
6.875909791376834E-5,24000000,2,485
6.730069454726548E-5,36000000,3,484
8.416227657365373E-5,48000000,4,484
1.0940955571277898E-4,60000000,5,500
8.569193241564139E-5,72000000,6,516
7.450687669266803E-5,96000000,8,531
1.612353840175846E-5,120000000,10,547
6.157944159214748E-5,144000000,12,609
2.54689533928002E-5,12000000,1,453
2.2159256993341972E-4,24000000,2,472
2.9396870040220265E-6,36000000,3,485
9.416251216450804E-5,48000000,4,537
5.3646642488256915E-6,60000000,5,500
6.472717268877553E-5,72000000,6,547
7.196039760326583E-5,96000000,8,531
4.1469330338365E-5,120000000,10,531
6.753058502055834E-5,144000000,12,610
2.330069991846626E-4,12000000,1,453
6.487800263560535E-5,24000000,2,453
2.253342888699101E-5,36000000,3,453
3.850406956168483E-6,48000000,4,484
1.163994775459576E-4,60000000,5,485
9.556786388344755E-5,72000000,6,515
3.1391476279734063E-6,96000000,8,563
7.458645416429578E-5,120000000,10,546
1.246245776567527E-5,144000000,12,610
