Error,Ntotal,Nworkers,Time
4.692303972167453E-5,120000000,1,4219
3.245055022983586E-5,120000000,1,4198
8.444116497310487E-5,120000000,1,4313
5.336579508537873E-5,240000000,2,4393
1.9771206430105534E-5,240000000,2,4618
5.882252430018797E-5,240000000,2,4866
2.8636653705328504E-5,360000000,3,5139
2.4181566742077497E-5,360000000,3,4565
4.560964419205215E-5,360000000,3,4799
5.227823630750278E-5,480000000,4,4985
4.7914738284390825E-5,480000000,4,5125
1.9728397862933308E-5,480000000,4,5233
1.6572518404033514E-6,600000000,5,5195
1.6806843624234755E-5,600000000,5,5236
2.6133160021938824E-5,600000000,5,5310
1.0404570780066722E-5,720000000,6,5124
1.2226010684359636E-5,720000000,6,5305
1.898655898926876E-5,720000000,6,5446
3.088931602607544E-5,840000000,7,5301
5.21080277934258E-6,840000000,7,5736
6.294572153619213E-6,840000000,7,5554
2.4996426479205655E-5,960000000,8,5880
4.0582674243268185E-6,960000000,8,5832
7.039770024935937E-6,960000000,8,5807
