Error,Ntotal,Nworkers,Time
4.034088915884555E-4,1200000,1,69
3.2976487958820606E-4,1200000,1,47
3.8218823250953847E-4,1200000,1,45
8.704632720513695E-6,2400000,2,79
7.776955302615453E-5,2400000,2,47
3.080137040323832E-4,2400000,2,46
2.7431654885836504E-4,3600000,3,84
2.9492553621508708E-5,3600000,3,55
6.028830869301908E-4,3600000,3,58
1.7803716717406935E-4,4800000,4,98
1.0907002516755364E-4,4800000,4,60
1.2647929060843966E-4,4800000,4,57
8.000604722561276E-5,6000000,5,103
2.0604843715820028E-4,6000000,5,74
2.185769510109594E-4,6000000,5,60
1.128627010327812E-4,7200000,6,111
3.0455808276336516E-5,7200000,6,82
4.257862672026139E-5,7200000,6,59
1.8579071809583083E-5,8400000,7,161
3.618770302482348E-4,8400000,7,81
2.7976792258819795E-5,8400000,7,65
8.828210426641726E-5,9600000,8,161
1.1454993404450428E-5,9600000,8,106
6.702659436743422E-5,9600000,8,105
