Error,Ntotal,Nworkers,Time
2.0392637125029445E-4,12000000,1,483
1.2202295220195049E-4,12000000,1,425
3.50879435371855E-4,12000000,1,438
2.8627085347270335E-4,12000000,2,255
2.4742872236208145E-4,12000000,2,215
4.317987872748724E-5,12000000,2,222
1.941274055902665E-5,12000000,3,194
1.684961955847774E-4,12000000,3,171
4.7105700657070635E-5,12000000,3,183
1.69349022819665E-6,12000000,4,175
2.1082308545091773E-4,12000000,4,129
2.5681159983619055E-5,12000000,4,145
6.005862769146749E-5,12000000,5,163
4.7432335539583236E-5,12000000,5,116
1.6604749479435895E-4,12000000,5,115
1.3539196742170072E-4,12000000,6,152
1.3454314105842532E-4,12000000,6,109
2.20372382036494E-4,12000000,6,96
1.2276514794049413E-4,11999995,7,159
1.2828252159984113E-4,11999995,7,102
9.029035798504954E-5,11999995,7,85
2.8219314076878294E-5,12000000,8,168
3.1109902459511686E-4,12000000,8,108
6.949349598535003E-5,12000000,8,79
