Error,Ntotal,Nworkers,Time
4.3692920793688556E-4,1200000,1,74
7.287132702719595E-4,1200000,1,47
5.539008269415946E-5,1200000,1,47
3.0791592573325814E-4,1200000,2,54
7.768924913773388E-4,1200000,2,25
4.172023199897021E-4,1200000,2,25
3.5672344161480975E-4,1200000,3,59
7.280849754957873E-4,1200000,3,20
1.8882224082120867E-5,1200000,3,19
1.3241275015437652E-4,1200000,4,57
1.207413876608944E-4,1200000,4,29
9.83361179218964E-4,1200000,4,16
2.0287366329262583E-4,1200000,5,67
1.7953093830580294E-4,1200000,5,26
3.683948041081505E-4,1200000,5,14
1.1454993404450428E-5,1200000,6,75
3.4823517798318636E-4,1200000,6,23
8.616003835851142E-5,1200000,6,12
4.810161350851246E-4,1199996,7,84
7.072284009673593E-5,1199996,7,22
6.751858128893712E-4,1199996,7,14
5.920147633204911E-5,1200000,8,98
3.1597145118695944E-4,1200000,8,21
2.1878915760177828E-4,1200000,8,17
