Error,Ntotal,Nworkers,Time
7.7735436704162E-5,120000000,1,13746
5.7681913874607295E-5,120000000,2,13027
2.4786546140567863E-6,120000000,3,13057
4.013471414960419E-5,120000000,4,13608
5.374776694873958E-5,120000000,5,16313
2.759101930070604E-5,120000000,6,16166
1.7479375249657695E-5,120000000,7,23908
5.362378915540793E-6,120000000,8,42008
9.924257468074103E-5,120000000,1,13034
5.056238275359592E-5,120000000,2,13770
1.9696934123403746E-5,120000000,3,15032
4.156482330420521E-5,120000000,4,14762
2.230936052336477E-5,120000000,5,18064
1.0688764344302464E-5,120000000,6,19346
3.5951958977781545E-5,120000000,7,17793
8.132172808852003E-5,120000000,8,18955
4.4527390578960805E-5,120000000,1,12977
1.1516370048439456E-5,120000000,2,15468
2.1179034096930035E-6,120000000,3,15483
3.0370925640065518E-5,120000000,4,14591
1.536791967132107E-5,120000000,5,14955
3.1697216832542005E-5,120000000,6,20123
6.786448407142395E-6,120000000,7,24683
4.3625512568122024E-5,120000000,8,17818
