Error,Ntotal,Nworkers,Time
6.151827441997038E-4,1200000,1,157
2.633525416675182E-4,1200000,2,110
1.0313656562161679E-4,1200000,3,94
6.421413062261662E-4,1200000,4,125
3.2807555185822225E-4,1200000,5,110
5.27549747200099E-4,1200000,6,442
8.607140947390541E-4,1200000,7,298
4.0022579272659675E-4,1200000,8,236
2.771459700687648E-4,1200000,1,125
2.2197225646363702E-4,1200000,2,157
5.424042085552985E-4,1200000,3,297
1.6361544399665052E-4,1200000,4,236
3.371921102658765E-4,1200000,5,204
1.7803716717406935E-4,1200000,6,156
4.1464751590401556E-4,1200000,7,157
2.7926803597667064E-4,1200000,8,487
1.6131863398042777E-5,1200000,1,125
3.0642215460152455E-4,1200000,2,157
2.3470465191093072E-4,1200000,3,267
3.8918272500928683E-4,1200000,4,235
9.918494428505873E-4,1200000,5,361
8.649582265548658E-4,1200000,6,408
5.49831439232969E-4,1200000,7,485
2.745911659830783E-4,1200000,8,487
