Error,Ntotal,Nworkers,Time
1.1225312402941239E-4,1200000,1,146
3.063243763023994E-4,2400000,2,220
1.9190965610177898E-4,3600000,3,336
6.626567047207086E-5,4800000,4,440
7.766344973074511E-5,6000000,5,816
1.7546364531572078E-4,7200000,6,1035
9.315453085825984E-5,8400000,7,1962
8.231379390055578E-5,9600000,8,3732
5.307328460619577E-4,1200000,1,125
2.776764865458119E-4,2400000,2,424
6.5213996404449E-5,3600000,3,785
1.8307707370531038E-4,4800000,4,737
5.750382360578098E-5,6000000,5,690
2.2904580948998984E-4,7200000,6,1364
1.2993922737985814E-6,8400000,7,1318
1.0442800599402728E-4,9600000,8,3671
4.0191512045658056E-4,1200000,1,126
2.2621638827944872E-4,2400000,2,282
5.75121486020653E-5,3600000,3,707
6.865299461850028E-5,4800000,4,1019
2.6292812848588046E-4,6000000,5,1553
6.653092871059443E-5,7200000,6,1568
2.1365755919930857E-4,8400000,7,3314
3.038044230367789E-4,9600000,8,2271
