Error,Ntotal,Nworkers,Time
2.1825031612858817E-4,12000000,1,517
1.5714314297752356E-4,24000000,2,484
1.2409923062993919E-5,36000000,3,512
7.755734643533568E-5,48000000,4,488
3.654613743210261E-5,60000000,5,505
3.0040753981029846E-5,72000000,6,523
3.160968161380803E-5,96000000,8,562
2.7310171898676004E-6,120000000,10,557
3.849364984756385E-5,144000000,12,623
1.8144079762288993E-4,12000000,1,466
8.65230748961601E-5,24000000,2,470
1.6747053039591384E-4,36000000,3,487
6.653819287809931E-6,48000000,4,495
6.383255884643112E-6,60000000,5,513
7.22781905443294E-5,72000000,6,519
8.180980324743167E-5,96000000,8,540
4.572407248374589E-5,120000000,10,548
4.1986216654201857E-5,144000000,12,584
1.687458646590877E-5,12000000,1,466
6.202880282390541E-6,24000000,2,471
1.8529588402215326E-4,36000000,3,517
7.634548353455293E-5,48000000,4,501
2.21714262392477E-5,60000000,5,510
7.06866411134707E-5,72000000,6,514
3.8997123555664594E-5,96000000,8,547
1.0563725723180864E-5,120000000,10,564
1.887338214081319E-5,144000000,12,616
