Error,Ntotal,Nworkers,Time
5.999725104747846E-5,120000000,1,10378
3.28666384150479E-5,120000000,2,9683
6.549111641563859E-5,120000000,3,9801
4.047424469497091E-5,120000000,4,9485
5.008491792439486E-5,120000000,5,9783
2.01637886230356E-5,120000000,6,9680
5.634729768598785E-5,120000000,8,9883
3.507856579443421E-6,120000000,10,10214
2.656744883024458E-6,120000000,12,10019
1.7680971510907336E-5,120000000,1,10943
4.013471414960419E-5,120000000,2,11360
2.783734221337608E-5,120000000,3,9752
7.868702020092386E-6,120000000,4,9753
2.8726324561502104E-5,120000000,5,10917
1.4126511115115578E-5,120000000,6,10673
5.3098251513570264E-5,120000000,8,9386
2.1156180765494623E-6,120000000,10,9515
2.6521661350468807E-5,120000000,12,10041
2.018729461545893E-5,120000000,1,10366
4.360200657584005E-5,120000000,2,10026
5.5540912640989284E-5,120000000,3,10191
1.9030768695665795E-5,120000000,4,9561
5.134983247288232E-5,120000000,5,9989
9.725509689616014E-6,120000000,6,10033
8.886567239116912E-5,120000000,8,9908
3.8965292566956945E-5,120000000,10,10731
1.6683600534228343E-5,120000000,12,9828
