Error,Ntotal,Nworkers,Time
7.053102294687962E-5,120000000,1,4520
3.4330863891500096E-5,120000000,1,4446
9.714899360046799E-6,120000000,1,4548
3.6164165568600396E-5,240000000,2,4634
1.3792285734674832E-5,240000000,2,4564
8.834242008205092E-6,240000000,2,4654
2.514231851042896E-5,360000000,3,4816
8.871051831980852E-7,360000000,3,4615
2.3240784189484932E-5,360000000,3,4796
3.42861372400797E-5,480000000,4,5087
7.879679598839682E-6,480000000,4,4885
5.418083145708489E-6,480000000,4,5188
1.5718223813458422E-5,600000000,5,5037
5.810298089460474E-6,600000000,5,5054
7.0580728433509496E-6,600000000,5,5360
3.654306474586249E-7,720000000,6,5226
1.4478420378171683E-5,720000000,6,5460
1.4489030707740897E-5,720000000,6,5517
1.1378435764463744E-5,960000000,8,5742
1.1191428706265754E-5,960000000,8,6251
2.8662662584228174E-5,960000000,8,6252
2.3895278459015584E-6,1200000000,10,6511
1.2209387834786014E-5,1200000000,10,6655
2.7330168461409486E-5,1200000000,10,6696
3.5267919052969507E-6,1440000000,12,6590
2.7228499708080722E-5,1440000000,12,7164
1.8483452530204744E-5,1440000000,12,7174
