Error,Ntotal,Nworkers,Time
4.180053588730604E-5,12000000,1,504
1.965074655689083E-4,12000000,1,458
7.670852007220161E-5,12000000,1,478
7.358679785433189E-5,24000000,2,513
6.79477340342671E-6,24000000,2,474
1.5952214212766865E-4,24000000,2,472
3.493918945177209E-5,36000000,3,529
1.3195296920764945E-4,36000000,3,485
7.466760940831275E-6,36000000,3,537
1.612546456740028E-4,48000000,4,546
4.869725008792934E-5,48000000,4,502
6.573515399502373E-5,48000000,4,530
4.5195841339983654E-5,60000000,5,595
4.905800129229312E-5,60000000,5,574
1.369148760405001E-5,60000000,5,577
1.1859227898418351E-4,72000000,6,642
1.3726855369139367E-5,72000000,6,589
3.503593386085048E-5,72000000,6,582
5.236613877541484E-5,96000000,8,637
1.020672076715209E-4,96000000,8,652
4.0208986456447335E-5,96000000,8,626
6.086166657553257E-6,120000000,10,699
3.0296653333222374E-5,120000000,10,694
1.4772117034649515E-4,120000000,10,693
4.1119706408593795E-5,144000000,12,761
5.3117703784447156E-5,144000000,12,779
2.717544806037601E-5,144000000,12,739
