Error,Ntotal,Nworkers,Time
4.3311781429885454E-4,1200000,1,69
4.49033308608007E-4,1200000,1,51
2.336436189569778E-4,1200000,1,50
1.8546439785159844E-4,1200000,2,47
4.921029215420133E-4,1200000,2,27
2.3384349967961744E-6,1200000,2,27
0.0011503760911663636,1200000,3,49
0.0010024597723899751,1200000,3,19
4.09342351134251E-4,1200000,3,19
2.5973670462787877E-4,1200000,4,40
3.683948041081505E-4,1200000,4,16
3.6096757343048004E-4,1200000,4,13
0.0011503760911663636,1200000,5,43
2.7926803597667064E-4,1200000,5,15
1.26046552430659E-4,1200000,5,15
8.575309958771954E-4,1200000,6,44
6.387834632564146E-5,1200000,6,14
3.683948041081505E-4,1200000,6,13
4.952860204038721E-4,1200000,8,53
2.7777426484493705E-4,1200000,8,13
2.9156769324618367E-4,1200000,8,11
7.00498118693294E-4,1200000,10,69
2.1878915760177828E-4,1200000,10,17
9.57093349440877E-5,1200000,10,9
4.7025396768692404E-4,1200000,12,68
4.1464751590401556E-4,1200000,12,18
4.172023199897021E-4,1200000,12,12

