Error,Ntotal,Nworkers,Time
2.673386794128766E-5,12000000,1,506
3.491214668296705E-5,12000000,1,465
2.8032074393433923E-4,12000000,1,466
2.5497038133130424E-4,12000000,2,282
1.9702965704967114E-4,12000000,2,258
1.1714220061382359E-4,12000000,2,251
2.429723839554509E-4,12000000,3,219
3.8293095557726306E-4,12000000,3,169
2.4509444986335675E-4,12000000,3,168
1.4143985525918998E-4,12000000,4,154
4.169443259189661E-5,12000000,4,161
2.331047774837877E-4,12000000,4,150
1.767639276292976E-4,12000000,5,141
1.3602026219773164E-4,12000000,5,132
6.515158587041323E-5,12000000,5,123
1.4398633434859216E-4,12000000,6,120
3.76708323631881E-5,12000000,6,120
9.316285585454415E-5,12000000,6,109
1.3676298526545626E-4,12000000,8,118
5.231308712771013E-5,12000000,8,92
1.343309344677478E-4,12000000,8,91
2.0404079954198818E-4,12000000,10,125
8.484101133410523E-6,12000000,10,102
1.201047678885792E-4,12000000,10,72
1.3209444026814825E-4,12000000,12,127
1.0112060300912037E-4,12000000,12,102
1.1352636357404282E-4,12000000,12,63
