Error,Ntotal,Nworkers,Time
3.95511460249937E-5,120000000,1,4593
9.6724580419113E-6,120000000,1,4520
4.842472768062868E-6,120000000,1,4581
8.009321519531001E-5,240000000,2,4716
4.455195739917407E-6,240000000,2,4717
1.6945838941110847E-5,240000000,2,4841
3.753872018902036E-5,360000000,3,4817
1.4338717705934435E-5,360000000,3,4981
1.5753428311204994E-5,360000000,3,4993
2.1163812182177575E-5,480000000,4,5104
1.4359938365072862E-5,480000000,4,5253
1.9421065555310965E-5,480000000,4,5370
1.877383545342654E-5,600000000,5,5299
2.5294209284766013E-6,600000000,5,5309
1.9626905948444835E-5,600000000,5,5650
3.994163349952166E-6,720000000,6,5207
2.8387310961158754E-5,720000000,6,5621
8.625572193909307E-6,720000000,6,5731
3.389816663303967E-6,960000000,8,5901
9.35318911355893E-6,960000000,8,6190
1.997376173347926E-5,960000000,8,6319
4.310136228890123E-5,1200000000,10,6423
2.243031828008628E-5,1200000000,10,6693
2.7736380815408474E-5,1200000000,10,6784
7.025180821742928E-6,1440000000,12,6932
5.446377357751703E-6,1440000000,12,7472
5.816854697483253E-6,1440000000,12,7415
