Error,Ntotal,Nworkers,Time
1.4069713219132398E-4,12000000,1,515
7.416204098265806E-5,12000000,1,453
1.8694984398718908E-4,12000000,1,472
7.92102725101834E-5,24000000,2,522
2.239268424321444E-4,24000000,2,488
1.6170558467956352E-4,24000000,2,478
8.177443548220095E-5,36000000,3,542
3.2259564298155435E-5,36000000,3,504
8.823841150504359E-5,36000000,3,532
1.7768139480463234E-5,48000000,4,546
3.477119256749163E-5,48000000,4,531
1.2397753817045787E-4,48000000,4,561
3.9041850207084986E-5,60000000,5,569
8.046792289060056E-6,60000000,5,569
3.731008115882432E-5,60000000,5,605
6.983781475033663E-5,72000000,6,619
5.824654667350562E-5,72000000,6,584
2.0658937334993383E-5,72000000,6,574
3.3943954112532725E-5,96000000,8,659
3.299396236959575E-5,96000000,8,631
1.5287974950656592E-5,96000000,8,663
5.0848861651257924E-5,120000000,10,650
3.108410305250877E-5,120000000,10,713
7.295017808187532E-5,120000000,10,681
4.204084607486123E-6,144000000,12,751
1.5212818449753362E-5,144000000,12,760
8.97056568129955E-5,144000000,12,745
