Error,Ntotal,Nworkers,Time
7.12369361908285E-6,120000000,1,4111
3.126447865461998E-5,120000000,2,2102
5.849890924917508E-5,120000000,3,1458
1.1940783230077169E-5,120000000,4,1114
2.4261661158587253E-5,120000000,5,1005
2.8864258845477818E-5,120000000,6,831
3.463400140725367E-5,120000000,7,722
1.7018152244809655E-6,120000000,8,658
9.157359175697034E-5,120000000,1,4159
5.4154305632455064E-6,120000000,2,2135
5.0989081268518535E-5,120000000,3,1537
1.0678154014874606E-5,120000000,4,1223
7.224989633228618E-5,120000000,5,972
4.8355434209419085E-5,120000000,6,815
5.657191193570604E-6,120000000,7,737
1.4264445399232649E-5,120000000,8,644
7.854410708244545E-5,120000000,1,4159
1.1738852352649364E-4,120000000,2,2196
5.6283635708713924E-5,120000000,3,1428
4.654335319145721E-5,120000000,4,1255
6.375330770451986E-5,120000000,5,1000
9.828993035534107E-5,120000000,6,836
7.906581074683555E-6,120000000,7,736
3.352447884650153E-5,120000000,8,643
