Error,Ntotal,Nworkers,Time
5.920147633204911E-5,12000000,1,476
8.377997838001096E-6,12000000,2,267
1.2190852391025674E-4,12000000,3,157
5.5912274174780924E-5,12000000,4,110
1.8041722715129762E-5,12000000,5,110
1.4632060684731686E-4,12000000,6,78
2.0159276123001113E-4,12000000,7,79
1.8557050114700787E-4,12000000,8,62
1.284952532209361E-4,12000000,1,427
2.077544148807527E-4,12000000,2,217
1.766578243337468E-4,12000000,3,157
1.2339397004584738E-4,12000000,4,110
5.9315904623742855E-5,12000000,5,109
4.551415122621194E-5,12000000,6,79
7.18355449305172E-5,12000000,7,62
3.285039659055351E-6,12000000,8,79
9.464830199013478E-5,12000000,1,424
1.0154501619075808E-4,12000000,2,204
1.9575641750489936E-4,12000000,3,172
1.7804549217021232E-4,12000000,4,111
7.968773733952583E-5,12000000,5,109
2.5559867610747654E-4,12000000,6,79
1.3471540111395575E-5,12000000,7,78
6.196848700855447E-5,12000000,8,63
