Error,Ntotal,Nworkers,Time
5.459659331187365E-5,120000000,1,4131
5.136876779859449E-5,240000000,2,4126
2.782319510742515E-5,360000000,3,4627
2.183491552552205E-5,480000000,4,4611
1.2051130657229467E-5,600000000,5,4815
1.5466949413684352E-5,720000000,6,4960
2.126997977935575E-6,840000000,7,5064
1.3749477167361249E-5,960000000,8,5161
7.649631348138276E-5,120000000,1,4158
2.3086934411296757E-5,240000000,2,4268
2.7115839804648515E-5,360000000,3,4754
8.09417152280208E-6,480000000,4,4739
1.4287788124171835E-5,600000000,5,4925
1.4323319156603975E-5,720000000,6,5020
1.1663398900516383E-5,840000000,7,5051
2.1415807508810304E-5,960000000,8,5145
8.333769070101645E-5,120000000,1,4172
6.264256926379571E-6,240000000,2,4249
1.1179124836499002E-5,360000000,3,4610
2.4248398246696412E-5,480000000,4,4706
6.622886064801239E-6,600000000,5,4862
3.47322880258792E-5,720000000,6,4973
2.4395048158583037E-5,840000000,7,5065
1.7410408107599158E-5,960000000,8,5145
